"trait","term","NumDF","F_inc","resid_df","p_value","sig"
"methane","SEX",1,3.68,14418,0.0550885767052025,""
"methane","TX",1,4.23,14418,0.0397333934177282,"*"
"methane","BR",1,0.3,14418,0.583890899484277,""
"methane","SU",1,6.07,14418,0.0137612831164881,"*"
"methane","CL",1,11.61,14418,0.000657773756537961,"***"
"methane","CV",1,2.29,14418,0.130231841801046,""
"methane","LY",1,0.68,14418,0.409600365936125,""
"methane","UN",1,36.28,14418,1.75064938461859e-09,"***"
"methane","het",1,4.65,14418,0.0310700307072088,"*"
"methane","rec",1,0.01,14418,0.920345715786395,""
"methane","REARING_RANK",1,97.08,14418,7.8606983255458e-23,"***"
"methane","BIRTH_RANK",1,12.65,14418,0.000376769852276961,"***"
"methane","ewe_birth_rank",1,96.18,14418,1.23470089050867e-22,"***"
"methane","ewe_rearing_rank",1,8.59,14418,0.003385444883081,"**"
"methane","age_in_weeks",1,5.35,14418,0.0207362740979093,"*"
"methane","dam_parity_group_num",1,1.46,14418,0.226949938005569,""
"co2","SEX",1,2.41,14418,0.120584314740265,""
"co2","TX",1,21.15,14418,4.28313392765853e-06,"***"
"co2","BR",1,1.98,14418,0.15941196262576,""
"co2","SU",1,2.78,14418,0.0954698864127603,""
"co2","CL",1,0.97,14418,0.324696705625894,""
"co2","CV",1,0.06,14418,0.806499426478327,""
"co2","LY",1,0.21,14418,0.646774310611022,""
"co2","UN",1,42.84,14418,6.14120711108185e-11,"***"
"co2","het",1,3.63,14418,0.056766689928407,""
"co2","rec",1,1.02,14418,0.312535957548556,""
"co2","REARING_RANK",1,70.99,14418,3.92670967825932e-17,"***"
"co2","BIRTH_RANK",1,3.25,14418,0.0714443304964963,""
"co2","ewe_birth_rank",1,39.59,14418,3.22335351904723e-10,"***"
"co2","ewe_rearing_rank",1,3.25,14418,0.0714443304964963,""
"co2","age_in_weeks",1,7.17,14418,0.00742167440782618,"**"
"co2","dam_parity_group_num",1,0.65,14418,0.420125976854336,""
"mbw","SEX",1,20.18,14418,7.10338412054594e-06,"***"
"mbw","TX",1,31.53,14418,2.00007775056183e-08,"***"
"mbw","BR",1,1.25,14418,0.263571105467439,""
"mbw","SU",1,57.26,14418,4.04914578776097e-14,"***"
"mbw","CL",1,12.95,14418,0.000320993263678127,"***"
"mbw","CV",1,7.31,14418,0.00686523356160325,"**"
"mbw","LY",1,2.84,14418,0.091965854302089,""
