"pair","convergence","sigma_ide","sigma_pe_1","sigma_pe_2","sigma_res_1","sigma_res_c","sigma_res_2","sigma_ped_1","sigma_ped_c","sigma_ped_2","h2_1","h2_1_se","h2_2","h2_2_se","rg","rg_se","re","re_se","rp","rp_se","h2_1_check","h2_2_check","rg_check","re_check","rp_check","check_agree_rg","check_agree_rp"
"ch4adg_adg","CONVERGED",1663.52,1663.52,0.0014989,7612.93,-0.280251,0.000128287,1895.92,-1.04136,0.000875829,0.1697,0.0287,0.3499,0.0535,-0.8081,0.0775,-0.2836,0.0215,-0.2499,0.0189,0.169697208381033,0.349909469216337,-0.808129996246086,-0.283582827276718,-0.249918943821207,TRUE,TRUE
"ch4adg_ch4lw","UNKNOWN",491650,491650,0,11345.6,1.36547,0.00228939,588.645,-0.0346291,0.606866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011689106755117,0.99624169786957,-0.00183217971907249,0.267922099740212,0.0024028464922939,NA,NA
"ch4adg_ch4muscle","CONVERGED",1928.87,1928.87,0,7710.39,10.8125,0.0526665,1333,4.92895,0.0448461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121488189306487,0.459900566695996,0.637495314951016,0.536562996467098,0.481245100494913,NA,NA
"ch4adg_ch4rmtadg","UNKNOWN",31094.7,31094.7,1.5e-06,1856550,-1128.19,0.872602,185655,930.846,128.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0895456648163312,0.993237707832851,0.190825497101713,-0.886381777051449,-0.0120651124599342,NA,NA
"ch4adg_ch4rmtmbw","CONVERGED",2040.42,2040.42,1.5084,8110.91,102.616,9.93333,1401.46,29.3678,2.64146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.121309224871222,0.187561198847704,0.482679707902521,0.361520441509142,0.327210076488844,NA,NA
"ch4adg_ch4rmtmbwco2","CONVERGED",1970.82,1970.82,2.4754,7993.87,86.0459,9.57173,1388.58,24.7973,2.85362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122306612984629,0.191508481116722,0.393931648303176,0.311068776529718,0.269491150157833,NA,NA
"ch4adg_ch4rumen","UNKNOWN",31094.7,31094.7,1.58114e-05,6575.8,-9.36019,0.0311973,355.948,-0.445242,6094.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0093605376973416,0.999994878412517,-0.000302299706149778,-0.653509434784178,-0.000644106406057062,NA,NA
"ch4mbw_ch4adg","CONVERGED",0.00276535,0.00276535,2052.49,0.0196335,3.35434,7671.06,0.00523057,0.77596,1229.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.189311610594794,0.11226480639009,0.305965389357901,0.273325737064609,0.237424212438818,NA,NA
"ch4mbw_ch4lw","UNKNOWN",0.00272633,0.00272633,0.000518125,584.125,-58.3571,6.62029,283075000,73565000,39834500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999997936495554,0.999999833792139,0.692772749452347,-0.938430896545004,0.692771427553034,NA,NA
"ch4mbw_ch4muscle","CONVERGED",0.00166918,0.00166918,0,0.0199071,0.0298291,0.0473977,0.00610929,0.0121418,0.0283294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.220666939492306,0.374098572373694,0.922930537846403,0.971085606770417,0.916633836244125,NA,NA
