"trait_code","convergence","sigma_ped","sigma_ide","sigma_residual","h2","h2_se","t_repeat","t_se","h2_check","t_check","check_agree_h2","check_agree_t"
"adg","CONVERGED",0.000587469,0.00172275,0.000132623,0.2405,0.0555,0.9457,0.0027,0.240485876696078,0.945709546503622,TRUE,TRUE
"ch4adg","CONVERGED",1290.36,1966.6,7711.02,0.1176,0.0301,0.297,0.0166,0.117647916936391,0.296951672049001,TRUE,TRUE
"ch4adg_cg_het","UNKNOWN",1647.25,36449,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4adg_stage_het","UNKNOWN",1707.49,2294.97,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4lw","CONVERGED",0.000717696,0.000518125,0.00259819,0.1872,0.0197,0.3223,0.0125,0.187191951196801,0.322331104423018,TRUE,TRUE
"ch4mbw","CONVERGED",0.00518079,0.00272633,0.0196894,0.1877,0.0192,0.2865,0.0126,0.187733453348466,0.286525982261532,TRUE,TRUE
"ch4mbw_cg_het","CONVERGED",0.00363511,0.00113246,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4mbw_stage_het","CONVERGED",0.00531741,0.00267051,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4muscle","CONVERGED",0.0382923,0,0.0452948,0.4581,0.1064,0.4581,0.1064,0.458112555645548,0.458112555645548,TRUE,TRUE
"ch4muscle_cg_het","UNKNOWN",0.0238678,0.00155162,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4muscle_stage_het","UNKNOWN",0.0245638,0.00155162,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4ratio","CONVERGED",1.94886e-06,1.35206e-08,1.72287e-05,0.1016,0.0125,0.1023,0.0079,0.101550300403616,0.102254825608934,TRUE,TRUE
"ch4ratio_cg_het","CONVERGED",2.66231e-06,1.92412e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4ratio_stage_het","CONVERGED",2.01352e-06,6.54419e-07,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4ratiomol","CONVERGED",1.42508e-05,1.44927e-06,9.72912e-05,0.1261,0.0141,0.1389,0.0091,0.126123018176537,0.138949407330319,TRUE,TRUE
"ch4rmtadg","CONVERGED",2.40876,1.60408e-08,6.17424,0.2806,0.0259,0.2806,0.0259,0.280643131247613,0.280643133116516,TRUE,TRUE
"ch4rmtadg_cg_het","UNKNOWN",1.95999,36449,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rmtadg_stage_het","UNKNOWN",2.01041,36449,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rmtmbw","CONVERGED",2.53612,1.59226,9.93791,0.1803,0.0193,0.2935,0.0125,0.180297718872567,0.293494588836147,TRUE,TRUE
"ch4rmtmbw_cg_het","CONVERGED",1.67471,0.812508,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rmtmbw_stage_het","CONVERGED",2.58057,1.15996,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rmtmbwco2","CONVERGED",2.7319,2.56623,9.58415,0.1836,0.0195,0.356,0.0119,0.183567302859508,0.35600257487428,TRUE,TRUE
"ch4rmtmbwco2_cg_het","CONVERGED",1.97642,1.29916,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rmtmbwco2_stage_het","CONVERGED",2.77231,2.27255,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rumen","CONVERGED",0.138426,0,0.251844,0.3547,0.1066,0.3547,0.1066,0.354692904911984,0.354692904911984,TRUE,TRUE
"ch4rumen_cg_het","UNKNOWN",0.0780843,0.00556909,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ch4rumen_stage_het","UNKNOWN",0.0819444,0.0148919,NA,NA,NA,NA,NA,NA,NA,NA,NA
"co2","CONVERGED",19164.6,17141,31226.5,0.2838,0.023,0.5376,0.01,0.28378504444553,0.537605079658414,TRUE,TRUE
"mbw","CONVERGED",2.19097,1.91896,0.957986,0.4323,0.0264,0.811,0.0047,0.432321688046921,0.810970426502728,TRUE,TRUE
"methane","CONVERGED",3.91959,1.18589,10.7347,0.2474,0.0205,0.3223,0.0127,0.247446051749412,0.322311993929362,TRUE,TRUE
"methane_cg_het","CONVERGED",2.15202,0.371809,NA,NA,NA,NA,NA,NA,NA,NA,NA
"methane_stage_het","CONVERGED",4.15276,1.24194,NA,NA,NA,NA,NA,NA,NA,NA,NA
"muscle","CONVERGED",0.396422,0.277216,0.577929,0.3167,0.115,0.5382,0.1112,0.316740534066494,0.538235667766887,TRUE,TRUE
"rumen","CONVERGED",0.166881,0.109167,0.765849,0.1602,0.0959,0.2649,0.1896,0.160170343133726,0.264947494809948,TRUE,TRUE
"weight","CONVERGED",30.4672,28.0808,14.3082,0.4182,0.0262,0.8036,0.0049,0.418182666677647,0.803610399663996,TRUE,TRUE
